Iteration BLACK RED BLUE DARKGREEN
1 0 90 1300 1582
2 0 90 1297 1584
3 0 90 1297 1582
4 0 90 1296 1584
5 0 90 1298 1582
6 0 90 1296 1584
7 0 90 1299 1582
8 0 90 1298 1584
9 0 90 1299 1582
10 0 90 1295 1584
11 0 90 1298 1582
12 0 90 1296 1584
13 0 90 1298 1582
14 0 90 1297 1584
15 0 90 1300 1582
16 0 90 1297 1584
17 0 90 1297 1582
18 0 90 1296 1584
19 0 90 1298 1582
20 0 90 1296 1584
21 0 90 1299 1582
22 0 90 1298 1584
23 0 90 1299 1582
24 0 90 1295 1584
25 0 90 1298 1582
26 0 90 1296 1584
27 0 90 1298 1582
28 0 90 1297 1584
29 0 90 1300 1582
30 0 90 1297 1584
31 0 90 1297 1582
32 0 90 1296 1584
33 0 90 1298 1582
34 0 90 1296 1584
35 0 90 1299 1582
36 0 90 1298 1584
37 0 90 1299 1582
38 0 90 1295 1584
39 0 90 1298 1582
40 0 90 1296 1584
41 0 90 1298 1582
42 0 90 1297 1584
43 0 90 1300 1582
44 0 90 1297 1584
45 0 90 1297 1582
46 0 90 1296 1584
47 0 90 1298 1582
48 0 90 1296 1584
49 0 90 1299 1582
50 0 90 1298 1584
51 0 90 1299 1582
52 0 90 1295 1584
53 0 90 1298 1582
54 0 90 1296 1584
55 0 90 1298 1582
56 0 90 1297 1584
57 0 90 1300 1582
58 0 90 1297 1584
59 0 90 1297 1582
60 0 90 1296 1584
61 0 90 1298 1582
62 0 90 1296 1584
63 0 90 1299 1582
64 0 90 1298 1584
65 0 90 1299 1582
66 0 90 1295 1584
67 0 90 1298 1582
68 0 90 1296 1584
69 0 90 1298 1582
70 0 90 1297 1584
71 0 90 1300 1582
72 0 90 1297 1584
73 0 90 1297 1582
74 0 90 1296 1584
75 0 90 1298 1582
76 0 90 1296 1584
77 0 90 1299 1582
78 0 90 1298 1584
79 0 90 1299 1582
80 0 90 1295 1584
81 0 90 1298 1582
82 0 90 1296 1584
83 0 90 1298 1582
84 0 90 1297 1584
85 0 90 1300 1582
86 0 90 1297 1584
87 0 90 1297 1582
88 0 90 1296 1584
89 0 90 1298 1582
90 0 90 1296 1584
91 0 90 1299 1582
92 0 90 1298 1584
93 0 90 1299 1582
94 0 90 1295 1584
95 0 90 1298 1582
96 0 90 1296 1584
97 0 90 1298 1582
98 0 90 1297 1584
99 0 90 1300 1582
100 0 90 1297 1584
101 0 90 1297 1582
102 0 90 1296 1584
103 0 90 1298 1582
104 0 90 1296 1584
105 0 90 1299 1582
106 0 90 1298 1584
107 0 90 1299 1582
108 0 90 1295 1584
109 0 90 1298 1582
110 0 90 1296 1584
111 0 90 1298 1582
112 0 90 1297 1584
113 0 90 1300 1582
114 0 90 1297 1584
115 0 90 1297 1582
116 0 90 1296 1584
117 0 90 1298 1582
118 0 90 1296 1584
119 0 90 1299 1582
120 0 90 1298 1584
121 0 90 1299 1582
122 0 90 1295 1584
123 0 90 1298 1582
124 0 90 1296 1584
125 0 90 1298 1582
126 0 90 1297 1584
127 0 90 1300 1582
128 0 90 1297 1584
129 0 90 1297 1582
130 0 90 1296 1584
131 0 90 1298 1582
132 0 90 1296 1584
133 0 90 1299 1582
134 0 90 1298 1584
135 0 90 1299 1582
136 0 90 1295 1584
137 0 90 1298 1582
138 0 90 1296 1584
139 0 90 1298 1582
140 0 90 1297 1584
141 0 90 1300 1582
142 0 90 1297 1584
143 0 90 1297 1582
144 0 90 1296 1584
145 0 90 1298 1582
146 0 90 1296 1584
147 0 90 1299 1582
148 0 90 1298 1584
149 0 90 1299 1582
150 0 90 1295 1584
151 0 90 1298 1582
152 0 90 1296 1584
153 0 90 1298 1582
154 0 90 1297 1584
155 0 90 1300 1582
156 0 90 1297 1584
157 0 90 1297 1582
158 0 90 1296 1584
159 0 90 1298 1582
160 0 90 1296 1584
161 0 90 1299 1582
162 0 90 1298 1584
163 0 90 1299 1582
164 0 90 1295 1584
165 0 90 1298 1582
166 0 90 1296 1584
167 0 90 1298 1582
168 0 90 1297 1584
169 0 90 1300 1582
170 0 90 1297 1584
171 0 90 1297 1582
172 0 90 1296 1584
173 0 90 1298 1582
